PUPIL_NUMBER	LEGAL_RES_DIST_CODE	COUNTY
235299	2043	15
251926	2043	15
254809	2043	15
252019	2043	15
252020	2043	15
252454	2043	15
252460	2043	15
235314	2043	15
235856	2043	15
247416	2043	15
235304	2043	15
235896	2043	15
235313	2043	15
252918	2043	15
253063	2043	15
245628	2043	15
245634	2043	15
252605	2043	15
238230	2043	15
247449	2043	15
247450	2043	15
246019	2043	15
235359	2043	15
252633	2043	15
235341	2043	15
252626	2043	15
253312	2043	15
252708	2043	15
252711	2043	15
251683	2043	15
235345	2043	15
245615	2043	15
245626	2043	15
252796	2043	15
246697	2043	15
246747	2043	15
235347	2043	15
252837	2043	15
252856	2043	15
252879	2043	15
249677	2043	15
249678	2043	15
119812	2043	15
252898	2043	15
245433	2043	15
245435	2043	15
245449	2043	15
235358	2043	15
246793	2043	15
245704	2043	15
235747	2043	15
236846	2043	15
236962	2043	15
247324	2043	15
236412	2043	15
235817	2043	15
236253	2043	15
236257	2043	15
236263	2043	15
236273	2043	15
236427	2043	15
236440	2043	15
247326	2043	15
249017	2043	15
249030	2043	15
247329	2043	15
235813	2043	15
249033	2043	15
252378	2043	15
247330	2043	15
249029	2043	15
206958	2043	15
187098	2043	15
235814	2043	15
235773	2043	15
235780	2043	15
189110	2043	15
207298		15
236663	2043	15
207300		15
235824	2043	
120547	2043	15
236664	2043	15
238078	2043	15
238324	2043	15
249879	2043	15
236812	2043	15
235829	2043	15
235846	2043	15
235864	2043	15
235870	2043	15
237958	2043	15
238561	2043	15
239800	2043	15
189841	2082	15
235820	2043	15
237540	2043	15
240125	2043	15
240161	2043	15
236591	2043	15
236613	2043	15
240058	2043	15
240061	2043	15
236646	2043	15
236655	2043	15
236682	2043	15
236691	2043	15
236465	2043	15
238239	2043	15
237148	2043	15
237774	2043	15
238147	2043	15
236452	2043	15
251197	2043	15
252253	2043	15
251248	2043	15
236783	2043	15
251250	2043	15
236045	2043	15
252762	2043	15
252811	2043	15
251251	2043	15
